,name,Age,Dribbling / Reflexes,Passing / Kicking,Shooting / Handling,International reputation,Total mentality,Shot power,Total power,Ball control,Finishing,Log Market Value
2515,F. Potts CDM CM,19,56,59,43,1,269,48,283,61,40,13.790192749979985
2516,M. Maglica CB,24,44,46,50,1,271,78,376,54,35,14.648419680899378
2517,D. Lembikisa RB RWB,19,60,54,43,1,260,46,269,58,43,13.997832114758229
2518,L. Querfeld CB,19,50,50,40,1,235,68,369,56,22,14.845129975145433
2519,B. Andresen LB RB,20,59,46,29,1,229,26,229,57,30,12.959844447906553
2520,J. White CAM CM,20,59,61,54,1,260,60,297,60,52,13.304684934198283
2522,B. Białek ST,21,63,47,67,1,254,71,346,68,69,14.557447902693651
2523,M. Esquivel CM RM LM,24,73,70,66,1,313,73,343,72,59,14.845129975145433
2524,S. Hansen RM LM ST,21,71,60,62,1,256,66,307,69,63,14.914122846632385
2525,K. Baah LW LM RM,20,63,51,55,1,235,64,302,59,52,13.38472764187182
2526,K. Urbański CAM CM,18,68,57,52,1,242,59,219,69,52,13.345506928718539
2527,C. Saydee ST CAM,21,63,52,61,1,278,67,361,60,62,14.077874822431765
2528,T. Sakamoto RM RWB CAM,26,75,69,64,1,313,64,316,73,64,15.009433026436708
2529,M. Adopo CM CDM CB,22,61,60,54,1,287,70,311,63,47,13.493926933836812
2530,A. Bondarenko CAM CDM,22,76,66,70,1,331,74,343,77,69,16.34123920227253
2531,E. Martínez CDM,23,71,63,56,1,337,55,328,73,56,15.520258650202699
2532,N. Al Aqidi GK,23,67,63,64,1,80,47,211,25,7,14.508657738524219
2533,J. Mosquera RB,23,58,59,41,1,286,48,329,60,38,15.096444403426338
2534,D. Zima CB,22,63,54,38,1,272,61,326,63,30,15.520258650202699
2535,R. Sosa LM RM,23,76,68,66,1,302,70,322,74,69,16.012735135300492
2536,M. Touré ST LM,19,66,52,60,1,254,65,325,63,61,14.28551418721001
2537,F. Pereira CB RB,23,64,57,44,1,248,54,332,56,42,15.404745763080856
2538,M. Diomande CM LW,21,74,68,61,1,322,65,339,74,65,15.096444403426338
2539,M. Núñez CM,23,73,74,65,1,317,74,336,75,59,14.880221294956703
2540,Javi López LB,21,59,54,29,1,262,30,273,65,26,15.03928598958639
2541,F. Torres RM LM CAM,23,73,70,70,1,266,72,335,73,69,15.761420707019587
2542,M. Peltola CB CDM RB,20,56,55,35,1,226,40,287,60,30,13.527828485512494
2543,J. Garrett CDM CM,20,62,60,52,1,299,54,293,61,56,14.22097566607244
2544,J. Matete CM CDM,22,70,61,55,1,324,59,311,65,56,14.28551418721001
2545,23 Christian Marques CB,19,49,53,37,1,261,41,270,50,34,13.217673557208654
2546,A. Molinas CAM CM,22,76,72,57,1,303,60,303,76,56,15.520258650202699
2547,G. Tapia RM RW,21,66,57,58,1,245,60,310,66,59,14.457364444136669
2548,J. Justvan CAM RWB LWB,25,74,70,55,1,298,65,290,73,52,14.946912669455374
2549,J. Kjær CAM CM RW,19,67,60,53,1,272,53,260,66,53,13.815510557964274
